id;url;type;days;hours;minutes;seconds
1;https://jessika.info;false;28711;69045;13901;99778
2;https://sylvan.name;true;755;96161;25951;3595
3;https://connor.name;false;52273;63978;79234;61107
4;https://kylie.name;false;22929;52687;69025;11595
5;https://cordie.info;true;79543;86061;87819;47195
6;https://marvin.net;false;35867;16406;69101;11192
7;https://spencer.org;true;52706;84202;5791;79903
8;https://twila.info;true;62167;46240;88306;31656
9;https://magali.info;true;52711;86560;51411;20708
10;http://garry.info;true;46753;63480;17248;59468
